"Marca temporal","¿Cuál es tu máximo nivel de estudios alcanzado?","¿Cómo evaluarías tu habilidad en el uso de ordenadores y entornos digitales?","¿Te consideras un aficionado del atletismo?","¿Cómo evaluarías tu nivel de conocimiento previo acerca de programas antidopaje en el deporte?","¿Cómo de intuitivo te ha resultado recorrer las distintas páginas o pantallas de las que se compone la aplicación?","(Opcional) ¿Quieres incluir algún comentario acerca de la navegación por la aplicación? Pueden ser sugerencias, confusiones que hayan surgido, inconsistencias que hayas encontrado...","¿Cómo valorarías la dificultad de comprensión del lenguaje empleado en las descripciones que aparecen en la aplicación?","(Opcional) ¿Quieres incluir algún comentario acerca del nivel de lenguaje utilizado en la aplicación? Puedes mencionar partes que te hayan resultado demasiado técnicas, incompletas, incoherentes, ...","¿Cómo te ha parecido el equilibrio entre las cantidades de texto y de contenido visual en la aplicación?","(Opcional)  ¿Quieres incluir algún comentario acerca de la utilidad del contenido visual (no textual) que se ha incluido? En tu experiencia, ¿ha ayudado a tu comprensión del tema o ha resultado contraproducente (p.ej. ha supuesto una distracción)?","Indica tu grado de acuerdo o desacuerdo con la siguiente afirmación: ""Tras utilizar la aplicación tengo una comprensión clara acerca de lo que es el Pasaporte Biológico del Atleta""","(Opcional)  ¿Quieres incluir algún comentario acerca de la información incluida en la aplicación? Puedes mencionar lo que más te ha gustado, lo que menos te ha gustado, algo que eches en falta, ...","En la sección titulada ""Metodología"" la aplicación incluye dos gráficas de ejemplo para los biomarcadores hb y OFF-score. En base a las explicaciones que ofrece la aplicación, ¿cuál crees que sería el estado del pasaporte correspondiente en el sistema?","(Opcional) Puedes incluir un comentario acerca del razonamiento que has empleado para contestar a la pregunta anterior.","Esta es una última oportunidad para que añadas comentarios, sugerencias o problemas que hayas enfrentado pero que no hayas podido incluir en las preguntas anteriores :)"
"2025/08/23 4:19:52 p. m. EEST","Grado Universitario o Licenciatura","5","No","1","5","La navegación es muy clara e intuitiva. Permite al usuario localizar la información que necesita con rapidez y sin mucho esfuerzo. El único pequeño obstáculo que me encontré es que el campo de búsqueda en la pestaña ""Metodología"" no distingue por campos, lo cual dificulta ligeramente al usuario encontrar lo que busca.","2","El lenguaje es divulgativo y la mayor parte del contenido es perfectamente comprensible para cualquier persona no versada en ninguna disciplina particular. Una comprensión total requeriría familiaridad previa con ciertas nociones de biología básica (glóbulos rojos, hemoglobina, ...).","5","El contenido visual ilustra adecuadamente las ideas expuestas en el texto, facilitando su comprensión. Al mismo tiempo, hace a la aplicación más agradable y atractiva para el usuario.","5","La información me ha ayudado a entender correctamente los fundamentos del ABP y su módulo hematológico partiendo de cero. Para mí cumple su función.","Sospechoso de dopaje","El atleta sería sospechoso de dopaje porque se han encontrado valores anómalos en algunas de las mediciones. El caso sería analizado por un panel de expertos para determinar si la anomalía es justificada (causada por enfermedad, medicamento, ...) o si es evidencia de dopaje.","La aplicación es intuitiva y fácil de usar. Consigue transmitir con claridad qué es el ABP y en qué consiste su método hematológico aunque el usuario no tenga conocimientos previos sobre el tema. El único punto negativo es el ya mencionado campo de búsqueda de la pestaña ""Metodología"""
"2025/08/23 5:49:39 p. m. EEST","Grado Universitario o Licenciatura","4","No","3","4","en las muestras de sangre remarcaría con mayor tamaño y mayuscula HB y rt en caso de que personas con poco conocimiento o despistadas vieran la pagina ","2","","4","","4","","Normal","diria desde mi experiencia que no es sospechoso de dopaje debido a que aunque en un par de ocasiones sasle de los limites inferiores, esto puede ser producido por diferentes motivos ademas de que sus diferencias no son grandes con respecto a lo minimo","Yo cambiaria o daria una introduccionb mas viable en el apartado de motivacion "
"2025/08/24 2:31:56 a. m. EEST","Grado Universitario o Licenciatura","5","No","2","4","Al principio tuve que ponerme a mirar dónde estaban los botones para seguir leyendo. Fue tras unos segundos que vi que estaban arriba.

He de reconocer que al oír ""aplicación"" me esperaba algo con más interactividad que lo que para el usuario parece una página estática. Igual de ahí viene la confusión con los botones.","2","","3","Echo en falta explicaciones más detalladas de las gráficas y dibujos de la aplicación. Quiero decir, hay explicaciones, pero creo que se ganaría bastante haciendo explicaciones ""para tontos"" de cómo se interpretan y se relacionan con el contenido estas gráficas.","5","","Normal","El atleta no parece pasarse apenas de los niveles permitidos y/o esperados. Sí que parece que con el gráfico del hb parece que pudiera haberse dopado en algún momento, pero consultando al menos el 27-10-2021 se ve que en el gráfico del OFF-score resulta que eran valores más normales.","He visto la app en una pantalla 1080p de 24'', y me hubiera gustado cambiar un poco la presentación de los textos:
1. Motivación: el texto empieza en el borde izquierdo de la pantalla, y acaba muy a la derecha. Se hacía un poco incómodo leerlo por lo larga que era cada línea
2. Metodología: el texto ocupa un margen minúsculo en el lado derecho. Creo que habría quedado mejor encima de la gráfica y con unos márgenes laterales adecuados para que todo el texto se quedara centrado (haría lo mismo para la sección de motivación)
3. Factores heterogéneos: Mismo problema que en ""Motivación""; las líneas son demasiado largas
4. Altitud: ver cómo cambia la altura de dónde ha estado el atleta no es muy interesante. Lo ideal habría sido ver también cómo afecta a diversas métricas biológicas. También el espacio horizontal del texto se me hace insuficiente, al igual que en ""Metodología""

Por lo demás, muy informativo :)"
"2025/08/24 9:19:23 p. m. EEST","Grado Universitario o Licenciatura","5","No","1","4","En el menú de arriba no está del todo claro qué elementos son clickables y cuales no. Por ejemplo, ni el nombre del proyecto (Introducción al ABP ) ni el nombre del programador (Flavius Abel Ciapsa) son clickables, pero yo me esperaría que llevaran a la home page (en este caso la pestaña Motivación). Además, las referencias (los numeros entre corchetes) no son clickables, pero me esperaría que llevaran a la biografía, o bien que mostraran un dialogo con la sección biografica correspondiente","1","Todo claro y entendible","3","Habría esperado una comparación entre varios atletas y presentar varios ejemplos donde unos se dopan y otros no. Señalando en el grafico la fecha de doping con una linea vertical y otra linea vertical para ver cuando saltan los distintos marcadores. De esta forma se enseñaría si hay algun lag entre fecha de doping y la activación de los marcadores","4","Aparte de lo mencionado anteriormente del contenido visual, en factores heterogeneos no me queda claro cómo afecta el origen etnico ni la edad. Parece una sección hecha con un formato totalmente distinto al de ""metodología"" y al de ""altitud"" y es muy poco aclarativa. Ningun elemento es clickable y son muy grandes los cuadrados, algo totalmente antiintuitivo.","Sospechoso de dopaje","Los limites superior e inferior se sobrepasan en algunas ocasiones, solo en algunos puntos pero podria ser sospechoso de dopaje. Sin embargo no podemos decidir si se ha dopado, podrian ser falsos positivos",""
"2025/08/25 10:25:04 a. m. EEST","Grado Universitario o Licenciatura","4","No","1","5","La navegación por la aplicación me ha parecido bastante sencilla. ","2","El lenguaje creo que está bastante bien. Sí que es cierto que hay términos que son más complejos de entender, pero se ha explicado todo bastante claro lo que ha facilitado el entendimiento. ","4","Ha ayudado a comprender mejor el tema. ","4","La información me parece bastante completa y clara. No sabía nada del tema y me ha resultado sencillo entender el tema. Aunque a la hora de entender el hb y OFF-score me ha costado un poco más y no sé si lo he comprendido bien.","Normal","",""
"2025/08/25 10:55:39 a. m. EEST","Postgrado","4","No","2","5","En general la interfaz es bastante user-friendly. Tal vez los los títulos de los paneles/elementos visuales podrían ser más grandes o distribuidos de forma más ""centrada"". Por ejemplo, la tabla podría tener un título descriptivo propio (aparte del título de la sección).
","2","Gracias a las explicaciones y aclaraciones la comprensión de los textos no se hace pesada, incluso para un usuario poco especializado en el tema.","4","","5","Me ha gustado que en todos las secciones se explique de forma concisa toda la información necesaria, incluyendo explicaciones de los tecnicismos que aparecen. 
También me ha gustado el estilo de las gráficas, ya que son muy visuales y aportan información completa.
Por último, me ha gustado que el buscador de la tabla de las muestras de sangre permita buscar valores de cualquier campo de la tabla de forma muy rápida.","Sospechoso de dopaje","Hay puntos en ambas gráficas que están fuera de los límites establecidos (anomalías), lo que indicaría que el atleta es sospechoso de dopaje y el grupo de expertos debería analizar la situación en detalle.",""
"2025/08/25 12:38:55 p. m. EEST","Grado Universitario o Licenciatura","3","Sí","1","5","","3","","5","","5","","Sospechoso de dopaje","",""
"2025/08/25 2:35:08 p. m. EEST","Formación Profesional de Grado Superior","5","Sí","3","5","La navegación es sencilla visualmente , esto favorece a la rápida comprensión de los datos.","1","El lenguaje me parece fácil de comprender ya que todo va bien explicado para que lo entienda hasta quien no esté familiarizado con estos términos concretos.","5","El contenido visual es lo que más me ha ayudado a comprender bien cada punto.","5","Lo que más me ha gustado ha sido la metodología, me ha parecido muy interesante junto a las estadísticas.","Sospechoso de dopaje","","Es un paso para entender el ABP muy útil para ponerse en contexto , poder entender los valores necesarios y los factores que condicionan a cada atleta.
Es muy interesante conocer el estudio que hay detrás y lo que puede cambiar en cualquier momento, por lo que me parece muy útil la existencia de este pasaporte.
"
"2025/08/26 10:47:39 a. m. EEST","Postgrado","5","No","2","5","Algo muy pequeño, pero los botones del menu parecen iguales al texto que no puede clicarse (titulo y autor), asi que pensaba que esos tambien podian clicarse. Si tuvieran mas pinta de botones o estuvieran separados entre si ayudaria. Se que esta hecha con estilo google, a quienes les gusta eso de que parezca todo plano, pero bueno.","2","Muy sencillo seguir el contenido de biologia para alguien que no sabe. Quizas es algo mas complicado seguir la parte de analisis de datos/estadistica para alguien que no sabe, como en la parte de límites superior e inferior, donde estaria bien especificar mas acerca del modelo. En cambio, la parte de sensibilidad y especificidad me ha parecido muy util.","4","La parte de las graficas en metodologia me parece muy chula y me gusta que se pueda interactuar con ellas, no sabia que se podia hacer, y creo que ayudan a mejorar la capacidad estadistica de la poblacion a traves de ejemplos reales. Yo añadiria una imagen estatica en la motivacion, algo como un diagrama que descompusiera el ABP en los tres modulos y que marcara el hematologico como foco, ya que esa parte tiene mucho texto. Ademas, encima de cada grafica añadiria una caption describiendo lo que son-esto es comun al incluir graficos de datos, incluso si repite informacion del main text. E.g. me ha costado averiguar que la tabla era para una sola persona. El unico que tiene titulo es el panel de caracteristicas, que dice claramente que es un ejemplo y que es de un atleta. Otras posibles caption podrian ser: 
 ""Ejemplo de tabla con biomarcadores hb y ret, obtenidos de distintas muestras de sangre de un atleta a lo largo del tiempo, ademas de indicar posibles invalidaciones de cada muestra.""
""Ejemplo de datos de altitud de un atleta a lo largo de dos años, que cambian cuando el atleta cambia de residencia o viaja temporalmente.""","4","Como he dicho arriba, echo en falta un poco mas de descripcion acerca del calculo de limsup y liminf, creo que esto deberia recalcarse ya que la medicion de los valores es clara pero no como se calculan en general. Tambien echo en falta las caption y el diagrama que he dicho antes.","Sospechoso de dopaje","Si el off-score es mas sensible e igualmente especifico, cruza varias veces el rango especialmente en 2020 asi que habria que ver las otras variables ya que el hb parece normal en esos casos.","No creo que sea muy estandar poner citas/bibliografia en webs; cuando se hace, suele ser con notacion de footnote. Entonces yo pondria un superscript con los numeros (x¹ x² x³), y que fueran clicables. Esto es porque cuando estas en otra pagina, ves el [3] pero no sabes de donde viene. Asi que yo pondria que hiciera link a la bibliografia o a la primera pagina. Ademas, estaria bien poner una especie de juego para el lector donde retaras a averiguar si el atleta fue acusado o sospechado de doping, y que en algun lado pusieras la respuesta. Y que ese ""reto"" apareciera en cada pagina de formas distintas para que hubiera mas engagement."
"2025/08/27 7:20:01 p. m. EEST","Grado Universitario o Licenciatura","5","No","2","5","","2","El lenguaje es adecuado para el tema que se está tratando y se explican muy bien los términos específicos del mismo; la única parte cuya expresión no he encontrado del todo natural, es el segundo apartado de la sección ""Motivación"", el cual reza: ""Para ello, la World Anti-Doping Agency (WADA) desarrolló un programa conocido como Pasaporte Biológico del Atleta (ABP), y en el atletismo World Athletics lo ha implementado desde 2009.""; el tramo final de la oración puede resultar confuso o cargado.","4","El contenido visual ha ayudado a la comprensión del tema; además, el estudio de un caso ha reforzado dicho aprendizaje. La única gráfica que considero que no aporta tanto, es la de la altitud, ya que no parece que se corresponda con el caso de estudio anterior de los biomarcadores.

Otro apartado respecto al tema visual es el tamaño de la fuente, el cual podría. ser ligeramente mayor, ya que hay secciones con menos texto que dejan mucho espacio en blanco.","5","El tema me ha resultado muy interesante además de novedoso para mí; me habría gustado conocer también detalles sobre los módulos esteroideo y el endocrinológico o, en su defecto, más información acerca de los protocolos estandarizados en la toma de muestras y el modelo estadístico. Este último me parece muy interesante, ya que tiene que ser muy complejo si tiene en cuenta tanto la variabilidad de cada biomarcador como los factores individuales para proporcionar límites personalizados a cada atleta.","Sospechoso de dopaje","En la primera gráfica ""hb"" hay 3 puntos donde los valores del biomarcador del atleta se encuentran fuera de los rangos estimados por el modelo estadístico, los cuales son: ""22-08-2021"", ""15-09-2021"" y ""27-10-2021""; sin embargo, en la segunda gráfica ""OFF-score"", encontramos igualmente 3 valores pero en fechas totalmente distintas, las cuales son: ""05-09-2020"", ""22-11-2020"" y ""26-02-2022"". Esto lleva a pensar que las detecciones de una de las gráficas pueden tratarse de falsos positivos, mientras que las de la otra son anomalías que deben ser estudiadas y que pueden deberse a factores externos que deberán ser justificados por el atleta. Finalmente, también me ha llamado la atención la cercanía de las 3 fechas detectadas en la gráfica ""hb"", las cuales se agrupan en un lapso de 2 meses, que podría ser la ventana de uso de sustancias prohibidas previo a una competición y durante la misma (en el hipotético caso de que el dopaje sea verdadero). Por todo ello, lo he considerado ""sospechoso de dopaje"".","Respecto al Dashboard de mejores resultados: nerfeen a Kenia y EEUU :D"
